14R;H;20;AAS  _HARD                _000;REFERENCE DU HARD                                                                                   ;20020705
94R;H;10;AAS  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20020705
24R;A;3;AAS  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20020705
84R;A;22;AAS  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20020705
34R;H;20;AAS  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20020705
74R;A;8;AAS  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20020705
14W;H;20;ADDGO_HARD                _000;REFERENCE DU HARD                                                                                   ;20020705
94W;H;10;ADDGO_SOFT                _000;REFERENCE DU SOFT                                                                                   ;20020705
24W;A;3;ADDGO_TYPE                _000;REFERENCE DU TYPE                                                                                   ;20020705
84W;A;22;ADDGO_DOTE                _000;REFERENCE DU DOTE                                                                                   ;20020705
34W;H;20;ADDGO_SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20020705
74W;A;8;ADDGO_CLE                 _000;CLE APPLICATIVE                                                                                     ;20020705
16S;H;20;ADML _HARD                _000;REFERENCE DU HARD                                                                                   ;20020705
96S;H;10;ADML _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20020705
26S;A;3;ADML _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20020705
86S;A;22;ADML _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20020705
36S;H;20;ADML _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20020705
76S;A;8;ADML _CLE                 _000;CLE APPLICATIVE                                                                                     ;20020705
18W;H;20;AFS  _HARD                _000;REFERENCE DU HARD                                                                                   ;20040322
98W;H;10;AFS  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20040322
28W;A;3;AFS  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20040322
88W;A;22;AFS  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20040322
38W;H;20;AFS  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20040322
78W;A;8;AFS  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20040322
16J;H;20;ALARM_HARD                _000;REFERENCE DU HARD                                                                                   ;20020705
96J;H;10;ALARM_SOFT                _000;REFERENCE DU SOFT                                                                                   ;20020705
26J;A;3;ALARM_TYPE                _000;REFERENCE DU TYPE                                                                                   ;20020705
86J;A;22;ALARM_DOTE                _000;REFERENCE DU DOTE                                                                                   ;20020705
36J;H;20;ALARM_SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20020705
76J;A;8;ALARM_CLE                 _000;CLE APPLICATIVE                                                                                     ;20020705
18Y;H;20;AMPLI_HARD                _000;REFERENCE DU HARD                                                                                   ;20041018
98Y;H;10;AMPLI_SOFT                _000;REFERENCE DU SOFT                                                                                   ;20041018
28Y;A;3;AMPLI_TYPE                _000;REFERENCE DU TYPE                                                                                   ;20041018
88Y;A;22;AMPLI_DOTE                _000;REFERENCE DU DOTE                                                                                   ;20041018
38Y;H;20;AMPLI_SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20041018
78Y;A;8;AMPLI_CLE                 _000;CLE APPLICATIVE                                                                                     ;20041018
19K;H;20;ARTIV_HARD                _000;REFERENCE DU HARD                                                                                   ;20060302
99K;H;10;ARTIV_SOFT                _000;REFERENCE DU SOFT                                                                                   ;20060302
29K;A;3;ARTIV_TYPE                _000;REFERENCE DU TYPE                                                                                   ;20060302
89K;A;22;ARTIV_DOTE                _000;REFERENCE DU DOTE                                                                                   ;20060302
39K;H;20;ARTIV_SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20060302
79K;A;8;ARTIV_CLE                 _000;CLE APPLICATIVE                                                                                     ;20060302
16R;H;20;AR2S _HARD                _000;REFERENCE DU HARD                                                                                   ;20040511
96R;H;10;AR2S _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20040511
26R;A;3;AR2S _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20040511
86R;A;22;AR2S _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20040511
36R;H;20;AR2S _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20040511
76R;A;8;AR2S _CLE                 _000;CLE APPLICATIVE                                                                                     ;20040511
14V;H;20;AVE  _HARD                _000;REFERENCE DU HARD                                                                                   ;20030307
94V;H;10;AVE  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20030307
24V;A;3;AVE  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20030307
84V;A;22;AVE  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20030307
34V;H;20;AVE  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20030307
74V;A;8;AVE  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20030307
16H;H;20;BCD  _HARD                _000;REFERENCE DU HARD                                                                                   ;20030520
96H;H;10;BCD  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20030520
26H;A;3;BCD  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20030520
86H;A;22;BCD  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20030520
36H;H;20;BCD  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20030520
76H;A;8;BCD  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20030520
16Q;H;20;BCM  _HARD                _000;REFERENCE DU HARD                                                                                   ;20031211
96Q;H;10;BCM  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20031211
26Q;A;3;BCM  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20031211
86Q;A;22;BCM  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20031211
36Q;H;20;BCM  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20031211
76Q;A;8;BCM  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20031211
16X;H;20;BDCP _HARD                _000;REFERENCE DU HARD                                                                                   ;20040120
96X;H;10;BDCP _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20040120
26X;A;3;BDCP _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20040120
86X;A;22;BDCP _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20040120
36X;H;20;BDCP _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20040120
76X;A;8;BDCP _CLE                 _000;CLE APPLICATIVE                                                                                     ;20040120
14T;H;20;BDM  _HARD                _000;REFERENCE DU HARD                                                                                   ;20020705
94T;H;10;BDM  _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20020705
24T;A;3;BDM  _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20020705
84T;A;22;BDM  _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20020705
34T;H;20;BDM  _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20020705
74T;A;8;BDM  _CLE                 _000;CLE APPLICATIVE                                                                                     ;20020705
18B;H;20;BDMA _HARD                _000;REFERENCE DU HARD                                                                                   ;20050617
98B;H;10;BDMA _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20050617
28B;A;3;BDMA _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20050617
88B;A;22;BDMA _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20050617
38B;H;20;BDMA _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20050617
78B;A;8;BDMA _CLE                 _000;CLE APPLICATIVE                                                                                     ;20050617
18A;H;20;BDMP _HARD                _000;REFERENCE DU HARD                                                                                   ;20031209
98A;H;10;BDMP _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20031209
28A;A;3;BDMP _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20031209
88A;A;22;BDMP _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20031209
38A;H;20;BDMP _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20031209
78A;A;8;BDMP _CLE                 _000;CLE APPLICATIVE                                                                                     ;20031209
14U;H;20;BEBA _HARD                _000;REFERENCE DU HARD                                                                                   ;20070725
94U;H;10;BEBA _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20070725
24U;A;3;BEBA _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20070725
84U;A;22;BEBA _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20070725
34U;H;20;BEBA _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20070725
74U;A;8;BEBA _CLE                 _000;CLE APPLICATIVE                                                                                     ;20070725
19F;H;20;BECB _HARD                _000;REFERENCE DU HARD                                                                                   ;20060725
99F;H;10;BECB _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20060725
29F;A;3;BECB _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20060725
89F;A;22;BECB _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20060725
39F;H;20;BECB _SOFT LIVRE          _000;REFERENCE SOFT LIVRE                                                                                ;20060725
79F;A;8;BECB _CLE                 _000;CLE APPLICATIVE                                                                                     ;20060725
19G;H;20;BECH _HARD                _000;REFERENCE DU HARD                                                                                   ;20051104
99G;H;10;BECH _SOFT                _000;REFERENCE DU SOFT                                                                                   ;20051104
29G;A;3;BECH _TYPE                _000;REFERENCE DU TYPE                                                                                   ;20051104
89G;A;22;BECH _DOTE                _000;REFERENCE DU DOTE                                                                                   ;20051104
